2024-07-23 20:27:13,197 INFO    MainThread:17048 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-23 20:27:13,198 INFO    MainThread:17048 [wandb_setup.py:_flush():76] Configure stats pid to 17048
2024-07-23 20:27:13,198 INFO    MainThread:17048 [wandb_setup.py:_flush():76] Loading settings from C:\Users\PC\.config\wandb\settings
2024-07-23 20:27:13,198 INFO    MainThread:17048 [wandb_setup.py:_flush():76] Loading settings from c:\Users\PC\Documents\MLCodes\wandb\settings
2024-07-23 20:27:13,198 INFO    MainThread:17048 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-23 20:27:13,198 INFO    MainThread:17048 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-07-23 20:27:13,201 INFO    MainThread:17048 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-07-23 20:27:13,201 INFO    MainThread:17048 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-07-23 20:27:13,201 INFO    MainThread:17048 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-23 20:27:13,201 INFO    MainThread:17048 [wandb_init.py:_log_setup():529] Logging user logs to c:\Users\PC\Documents\MLCodes\wandb\run-20240723_202713-qfeulthj\logs\debug.log
2024-07-23 20:27:13,201 INFO    MainThread:17048 [wandb_init.py:_log_setup():530] Logging internal logs to c:\Users\PC\Documents\MLCodes\wandb\run-20240723_202713-qfeulthj\logs\debug-internal.log
2024-07-23 20:27:13,203 INFO    MainThread:17048 [wandb_init.py:init():569] calling init triggers
2024-07-23 20:27:13,203 INFO    MainThread:17048 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {}
2024-07-23 20:27:13,203 INFO    MainThread:17048 [wandb_init.py:init():594] re-initializing run, found existing run on stack: by88ur9l
2024-07-23 20:27:13,205 INFO    MainThread:17048 [wandb_run.py:_finish():2109] finishing run cheatcode046-null/ url_classification/by88ur9l
2024-07-23 20:27:13,209 ERROR   MainThread:17048 [jupyter.py:save_history():436] Run pip install nbformat to save notebook history
2024-07-23 20:27:13,210 INFO    MainThread:17048 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-07-23 20:27:13,210 INFO    MainThread:17048 [wandb_init.py:_jupyter_teardown():457] cleaning up jupyter logic
2024-07-23 20:27:13,210 INFO    MainThread:17048 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 0
2024-07-23 20:27:13,211 INFO    MainThread:17048 [wandb_run.py:_restore():2332] restore
2024-07-23 20:27:13,212 INFO    MainThread:17048 [wandb_run.py:_restore():2338] restore done
2024-07-23 20:27:20,467 INFO    MainThread:17048 [wandb_run.py:_footer_history_summary_info():3991] rendering history
2024-07-23 20:27:20,467 INFO    MainThread:17048 [wandb_run.py:_footer_history_summary_info():4023] rendering summary
2024-07-23 20:27:20,492 INFO    MainThread:17048 [wandb_run.py:_footer_sync_info():3950] logging synced files
2024-07-23 20:27:20,899 INFO    MainThread:17048 [wandb_init.py:init():619] starting backend
2024-07-23 20:27:20,899 INFO    MainThread:17048 [wandb_init.py:init():623] setting up manager
2024-07-23 20:27:20,904 INFO    MainThread:17048 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-07-23 20:27:20,905 INFO    MainThread:17048 [wandb_init.py:init():631] backend started and connected
2024-07-23 20:27:20,914 INFO    MainThread:17048 [wandb_run.py:_label_probe_notebook():1334] probe notebook
2024-07-23 20:27:20,914 INFO    MainThread:17048 [wandb_run.py:_label_probe_notebook():1344] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-07-23 20:27:20,914 INFO    MainThread:17048 [wandb_init.py:init():720] updated telemetry
2024-07-23 20:27:21,019 INFO    MainThread:17048 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-23 20:27:22,349 INFO    MainThread:17048 [wandb_run.py:_on_init():2402] communicating current version
2024-07-23 20:27:23,280 INFO    MainThread:17048 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.17.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-23 20:27:23,280 INFO    MainThread:17048 [wandb_init.py:init():804] starting run threads in backend
2024-07-23 20:27:24,051 INFO    MainThread:17048 [wandb_run.py:_console_start():2380] atexit reg
2024-07-23 20:27:24,054 INFO    MainThread:17048 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-23 20:27:24,054 INFO    MainThread:17048 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-23 20:27:24,054 INFO    MainThread:17048 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-23 20:27:24,054 INFO    MainThread:17048 [wandb_init.py:init():847] run started, returning control to user process
